iter	Passed	Remaining
0	7	7035
1	13	6635
2	20	6690
3	26	6582
4	33	6629
5	39	6554
6	45	6491
7	52	6484
8	57	6318
9	63	6323
10	69	6293
11	76	6293
12	82	6275
13	89	6286
14	94	6214
15	101	6225
16	107	6219
17	113	6199
18	119	6189
19	126	6184
20	131	6140
21	138	6144
22	143	6109
23	150	6112
24	155	6053
25	160	6026
26	166	5997
27	172	5987
28	177	5957
29	184	5954
30	190	5955
31	196	5956
32	202	5945
33	209	5952
34	217	6005
35	224	6016
36	232	6039
37	238	6043
38	245	6043
39	251	6039
40	257	6020
41	263	6019
42	269	5995
43	275	5989
44	282	5988
45	288	5986
46	293	5952
47	299	5944
48	306	5939
49	311	5912
50	317	5913
51	324	5914
52	330	5910
53	336	5903
54	343	5899
55	348	5876
56	354	5870
57	360	5854
58	366	5849
59	372	5830
60	378	5826
61	383	5809
62	390	5806
63	396	5802
64	403	5799
65	408	5784
66	415	5782
67	421	5780
68	428	5777
69	434	5774
70	440	5768
71	447	5762
72	453	5754
73	459	5750
74	466	5747
75	472	5741
76	478	5735
77	484	5730
78	492	5736
79	498	5730
80	504	5724
81	510	5719
82	517	5713
83	523	5707
84	529	5701
85	536	5698
86	542	5691
87	548	5684
88	554	5678
89	561	5674
90	567	5669
91	573	5661
92	579	5654
93	585	5647
94	591	5638
95	598	5632
96	604	5627
97	610	5620
98	616	5612
99	622	5605
100	628	5598
101	635	5596
102	641	5590
103	648	5583
104	654	5576
105	660	5570
106	666	5563
107	672	5556
108	678	5549
109	684	5541
110	691	5534
111	698	5534
112	704	5531
113	710	5524
114	716	5517
115	723	5510
116	729	5504
117	735	5497
118	741	5490
119	747	5483
120	753	5476
121	760	5469
122	766	5462
123	772	5457
124	778	5449
125	784	5442
126	790	5435
127	796	5428
128	802	5420
129	808	5413
130	815	5406
131	821	5400
132	827	5393
133	833	5386
134	839	5380
135	845	5373
136	851	5366
137	858	5359
138	864	5352
139	870	5346
140	876	5339
141	882	5332
142	888	5325
143	894	5318
144	900	5311
145	906	5304
146	912	5297
147	918	5289
148	924	5283
149	931	5276
150	937	5268
151	943	5261
152	949	5254
153	955	5248
154	961	5241
155	967	5234
156	973	5227
157	979	5220
158	985	5213
159	991	5206
160	997	5199
161	1003	5192
162	1009	5185
163	1015	5178
164	1022	5172
165	1028	5166
166	1034	5160
167	1040	5153
168	1046	5147
169	1052	5140
170	1058	5133
171	1064	5126
172	1070	5118
173	1076	5112
174	1083	5106
175	1089	5099
176	1095	5092
177	1101	5085
178	1107	5079
179	1113	5073
180	1119	5066
181	1125	5059
182	1131	5052
183	1138	5047
184	1144	5039
185	1150	5032
186	1156	5026
187	1162	5019
188	1168	5013
189	1174	5007
190	1180	5000
191	1186	4993
192	1192	4987
193	1198	4981
194	1205	4974
195	1211	4968
196	1217	4961
197	1223	4955
198	1229	4948
199	1235	4942
200	1241	4936
201	1247	4929
202	1253	4922
203	1260	4916
204	1266	4910
